Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
ECON,2120,15,Principles of Macroecono,0.47,0.47,0.05,0.0,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,15,Principles of Macroecono,0.47,0.47,0.05,0.0,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,16,Principles of Macroecono,0.53,0.37,0.05,0.0,0.0,0.0,0.0,0.05,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,16,Principles of Macroecono,0.53,0.37,0.05,0.0,0.0,0.0,0.0,0.05,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,17,Principles of Macroecono,0.44,0.44,0.06,0.06,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,17,Principles of Macroecono,0.44,0.44,0.06,0.06,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,18,Principles of Macroecono,0.74,0.26,0.0,0.0,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,18,Principles of Macroecono,0.74,0.26,0.0,0.0,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,19,Principles of Macroecono,0.59,0.29,0.12,0.0,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,19,Principles of Macroecono,0.59,0.29,0.12,0.0,0.0,0.0,0.0,0.0,bradley keith hobbs,False,ECON-2120,2021
ECON,2120,20,Principles of Macroecono,0.66,0.27,0.05,0.01,0.01,0.0,0.0,0.0,illia polovnikov,False,ECON-2120,2021
ECON,2120,21,Principles of Macroecono,0.38,0.41,0.11,0.05,0.03,0.0,0.0,0.01,yinlin dai,False,ECON-2120,2021
ECON,2120,22,Principles of Macroecono,0.91,0.05,0.05,0.0,0.0,0.0,0.0,0.0,tyler francis,False,ECON-2120,2021
ECON,2120,23,Principles of Macroecono,0.86,0.1,0.02,0.0,0.0,0.0,0.0,0.02,tyler francis,False,ECON-2120,2021
ECON,2120,24,Principles of Macroecono,0.63,0.27,0.08,0.0,0.01,0.0,0.0,0.01,matthew lee cronin,False,ECON-2120,2021
ECON,2120,25,Principles of Macroecono,0.39,0.39,0.19,0.03,0.0,0.0,0.0,0.0,matthew lee cronin,False,ECON-2120,2021
ECON,2120,26,Principles of Macroecono,0.43,0.36,0.12,0.05,0.02,0.0,0.0,0.01,benjamin posmanick,False,ECON-2120,2021
ECON,2120,27,Principles of Macroecono,0.46,0.34,0.17,0.03,0.0,0.0,0.0,0.0,krishna khatri,False,ECON-2120,2021
ECON,2120,28,Principles of Macroecon (H,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,christopher aspen gorry,True,ECON-2120,2021
ECON,2120,29,Principles of Macroecono,0.12,0.48,0.28,0.09,0.01,0.0,0.0,0.02,mason bixenman,False,ECON-2120,2021
ECON,3020,1,Money and Banking,0.6,0.29,0.06,0.02,0.02,0.0,0.0,0.0,adam witham,False,ECON-3020,2021
